Date,Low
2019-05-14,183.22
2019-05-15,183.83
2019-05-16,186.61
2019-05-17,184.56
2019-05-20,178.15
2019-05-21,182.52
2019-05-22,180.4
2019-05-23,175.71
2019-05-24,176.51
2019-05-28,175.81
2019-05-29,173.92
2019-05-30,174.59
2019-05-31,172.93
2019-06-03,168.26
2019-06-04,172.46
2019-06-05,179.0
2019-06-06,180.0
2019-06-07,183.58
2019-06-10,189.36
2019-06-11,191.32
2019-06-12,191.11
2019-06-13,191.32
2019-06-14,188.06
2019-06-17,189.9
2019-06-18,192.91
2019-06-19,194.98
2019-06-20,195.69
2019-06-21,195.81
2019-06-24,195.83
2019-06-25,192.99
2019-06-26,195.02
2019-06-27,197.22
2019-06-28,194.73
2019-07-01,198.28
2019-07-02,198.99
2019-07-03,200.3
2019-07-05,200.51
2019-07-08,196.07
2019-07-09,196.47
2019-07-10,199.18
2019-07-11,199.33
2019-07-12,199.82
2019-07-15,201.59
2019-07-16,201.1
2019-07-17,200.87
2019-07-18,201.3
2019-07-19,199.97
2019-07-22,201.21
2019-07-23,204.85
2019-07-24,204.73
2019-07-25,204.29
2019-07-26,204.7
2019-07-29,205.98
2019-07-30,204.87
2019-07-31,208.81
2019-08-01,204.3
2019-08-02,199.25
2019-08-05,190.31
2019-08-06,191.75
2019-08-07,191.53
2019-08-08,197.04
2019-08-09,197.69
2019-08-12,197.55
2019-08-13,198.87
2019-08-14,200.96
2019-08-15,198.06
2019-08-16,202.2
2019-08-19,208.34
2019-08-20,208.63
2019-08-21,209.9
2019-08-22,209.06
2019-08-23,199.38
2019-08-26,203.41
2019-08-27,201.89
2019-08-28,201.69
2019-08-29,205.0
2019-08-30,205.53
2019-09-03,202.58
2019-09-04,205.65
2019-09-05,209.81
2019-09-06,210.8
2019-09-09,209.37
2019-09-10,210.01
2019-09-11,215.98
2019-09-12,221.07
2019-09-13,215.28
2019-09-16,215.81
2019-09-17,217.36
2019-09-18,217.68
2019-09-19,218.6
2019-09-20,215.72
2019-09-23,215.9
2019-09-24,215.44
2019-09-25,215.39
2019-09-26,217.07
2019-09-27,215.53
2019-09-30,219.02
2019-10-01,222.4
2019-10-02,216.18
2019-10-03,213.4
2019-10-04,222.09
2019-10-07,224.02
2019-10-08,222.53
2019-10-09,223.83
2019-10-10,225.47
2019-10-11,230.44
2019-10-14,232.78
2019-10-15,232.99
2019-10-16,231.33
2019-10-17,231.64
2019-10-18,232.41
2019-10-21,235.41
2019-10-22,237.69
2019-10-23,239.28
2019-10-24,239.87
2019-10-25,240.93
2019-10-28,244.74
2019-10-29,240.62
2019-10-30,239.27
2019-10-31,235.35
2019-11-01,247.16
2019-11-04,253.33
2019-11-05,254.26
2019-11-06,253.32
2019-11-07,256.8
2019-11-08,255.55
2019-11-11,256.97
2019-11-12,259.6
2019-11-13,259.75
2019-11-14,260.77
2019-11-15,261.68
2019-11-18,262.89
2019-11-19,264.05
2019-11-20,259.08
2019-11-21,259.86
2019-11-22,259.52
2019-11-25,261.19
2019-11-26,261.17
2019-11-27,263.97
2019-11-29,264.55
2019-12-02,262.12
2019-12-03,254.99
2019-12-04,259.36
2019-12-05,261.4
2019-12-06,265.95
2019-12-09,263.57
2019-12-10,264.51
2019-12-11,267.14
2019-12-12,265.97
2019-12-13,269.56
2019-12-16,275.58
2019-12-17,277.39
2019-12-18,277.71
2019-12-19,277.54
2019-12-20,277.15
2019-12-23,278.95
2019-12-24,281.49
2019-12-26,283.26
2019-12-27,286.66
2019-12-30,283.78
2019-12-31,288.05
2020-01-02,293.7
2020-01-03,295.0
2020-01-06,291.27
2020-01-07,295.97
2020-01-08,295.66
2020-01-09,304.65
2020-01-10,306.69
2020-01-13,309.58
2020-01-14,310.59
2020-01-15,307.98
2020-01-16,310.51
2020-01-17,313.41
2020-01-21,314.4
2020-01-22,315.7
2020-01-23,314.05
2020-01-24,315.91
2020-01-27,303.34
2020-01-28,310.61
2020-01-29,319.75
2020-01-30,317.14
2020-01-31,306.73
2020-02-03,300.69
2020-02-04,312.04
2020-02-05,317.34
2020-02-06,318.64
2020-02-07,317.14
2020-02-10,313.0
2020-02-11,317.85
2020-02-12,320.6
2020-02-13,322.48
2020-02-14,321.98
2020-02-18,313.76
2020-02-19,319.14
2020-02-20,317.35
2020-02-21,309.66
2020-02-24,288.45
2020-02-25,285.36
2020-02-26,285.73
2020-02-27,272.22
2020-02-28,255.68
2020-03-02,276.97
2020-03-03,285.03
2020-03-04,292.34
2020-03-05,290.62
2020-03-06,280.47
2020-03-09,262.29
2020-03-10,268.64
2020-03-11,271.13
2020-03-12,247.33
2020-03-13,252.27
2020-03-16,239.35
2020-03-17,237.76
2020-03-18,236.48
2020-03-19,241.96
2020-03-20,227.38
2020-03-23,212.04
2020-03-24,233.67
2020-03-25,243.64
2020-03-26,245.69
2020-03-27,246.38
2020-03-30,248.73
2020-03-31,251.32
2020-04-01,238.48
2020-04-02,236.26
2020-04-03,238.32
2020-04-06,248.71
2020-04-07,258.3
2020-04-08,260.52
2020-04-09,263.99
2020-04-13,265.11
2020-04-14,277.3
2020-04-15,279.87
2020-04-16,281.59
2020-04-17,276.11
2020-04-20,276.1
2020-04-21,264.71
2020-04-22,271.47
2020-04-23,274.13
2020-04-24,276.25
2020-04-27,279.19
2020-04-28,277.45
2020-04-29,283.12
2020-04-30,287.57
2020-05-01,285.08
2020-05-04,285.55
2020-05-05,293.67
2020-05-06,298.06
2020-05-07,301.15
2020-05-08,304.29
2020-05-11,307.24
2020-05-12,310.91
2020-05-13,303.21
2020-05-14,301.53
