Date,Open
2019-05-14,184.21
2019-05-15,184.07
2019-05-16,187.67
2019-05-17,184.73
2019-05-20,181.36
2019-05-21,183.04
2019-05-22,182.48
2019-05-23,177.68
2019-05-24,178.07
2019-05-28,176.81
2019-05-29,174.34
2019-05-30,175.85
2019-05-31,174.15
2019-06-03,173.53
2019-06-04,173.37
2019-06-05,182.11
2019-06-06,180.92
2019-06-07,184.31
2019-06-10,189.55
2019-06-11,192.56
2019-06-12,191.66
2019-06-13,192.4
2019-06-14,189.29
2019-06-17,190.62
2019-06-18,193.74
2019-06-19,197.33
2019-06-20,198.01
2019-06-21,196.46
2019-06-24,196.2
2019-06-25,196.09
2019-06-26,195.44
2019-06-27,197.93
2019-06-28,196.34
2019-07-01,200.77
2019-07-02,199.03
2019-07-03,200.88
2019-07-05,200.95
2019-07-08,198.44
2019-07-09,196.85
2019-07-10,199.47
2019-07-11,200.91
2019-07-12,200.06
2019-07-15,201.68
2019-07-16,202.18
2019-07-17,201.64
2019-07-18,201.59
2019-07-19,203.36
2019-07-22,201.25
2019-07-23,206.0
2019-07-24,205.22
2019-07-25,206.43
2019-07-26,205.03
2019-07-29,206.0
2019-07-30,206.3
2019-07-31,213.87
2019-08-01,211.38
2019-08-02,203.11
2019-08-05,195.65
2019-08-06,193.99
2019-08-07,193.11
2019-08-08,197.84
2019-08-09,199.68
2019-08-12,198.02
2019-08-13,199.4
2019-08-14,201.53
2019-08-15,201.82
2019-08-16,202.64
2019-08-19,208.93
2019-08-20,209.18
2019-08-21,211.28
2019-08-22,211.48
2019-08-23,207.75
2019-08-26,204.21
2019-08-27,206.19
2019-08-28,202.46
2019-08-29,206.82
2019-08-30,208.47
2019-09-03,204.77
2019-09-04,206.71
2019-09-05,210.3
2019-09-06,212.33
2019-09-09,213.11
2019-09-10,212.14
2019-09-11,216.32
2019-09-12,222.99
2019-09-13,218.23
2019-09-16,215.98
2019-09-17,218.19
2019-09-18,219.28
2019-09-19,220.23
2019-09-20,219.6
2019-09-23,217.19
2019-09-24,219.25
2019-09-25,216.79
2019-09-26,218.23
2019-09-27,218.77
2019-09-30,219.12
2019-10-01,223.26
2019-10-02,221.27
2019-10-03,216.67
2019-10-04,223.83
2019-10-07,224.45
2019-10-08,224.0
2019-10-09,225.2
2019-10-10,226.1
2019-10-11,231.08
2019-10-14,233.01
2019-10-15,234.49
2019-10-16,231.49
2019-10-17,233.2
2019-10-18,232.7
2019-10-21,235.61
2019-10-22,239.22
2019-10-23,240.15
2019-10-24,242.54
2019-10-25,241.21
2019-10-28,245.43
2019-10-29,246.97
2019-10-30,242.79
2019-10-31,245.25
2019-11-01,247.53
2019-11-04,255.26
2019-11-05,254.98
2019-11-06,254.71
2019-11-07,257.43
2019-11-08,257.38
2019-11-11,256.99
2019-11-12,260.23
2019-11-13,259.81
2019-11-14,262.42
2019-11-15,262.35
2019-11-18,264.45
2019-11-19,266.54
2019-11-20,264.2
2019-11-21,262.36
2019-11-22,261.26
2019-11-25,261.38
2019-11-26,265.59
2019-11-27,264.24
2019-11-29,265.25
2019-12-02,265.92
2019-12-03,257.0
2019-12-04,259.75
2019-12-05,262.45
2019-12-06,266.13
2019-12-09,268.63
2019-12-10,267.24
2019-12-11,267.45
2019-12-12,266.42
2019-12-13,270.09
2019-12-16,275.6
2019-12-17,278.16
2019-12-18,278.38
2019-12-19,278.09
2019-12-20,280.8
2019-12-23,279.11
2019-12-24,283.25
2019-12-26,283.38
2019-12-27,289.65
2019-12-30,288.0
2019-12-31,288.46
2020-01-02,294.74
2020-01-03,295.65
2020-01-06,292.3
2020-01-07,298.32
2020-01-08,295.66
2020-01-09,305.69
2020-01-10,309.03
2020-01-13,310.06
2020-01-14,315.1
2020-01-15,310.27
2020-01-16,312.0
2020-01-17,314.67
2020-01-21,315.58
2020-01-22,316.97
2020-01-23,316.31
2020-01-24,318.63
2020-01-27,308.49
2020-01-28,311.02
2020-01-29,322.81
2020-01-30,318.92
2020-01-31,319.31
2020-02-03,302.76
2020-02-04,313.71
2020-02-05,321.88
2020-02-06,320.94
2020-02-07,321.5
2020-02-10,313.33
2020-02-11,322.73
2020-02-12,320.6
2020-02-13,323.31
2020-02-14,323.86
2020-02-18,314.51
2020-02-19,319.14
2020-02-20,321.76
2020-02-21,317.76
2020-02-24,296.46
2020-02-25,300.14
2020-02-26,285.76
2020-02-27,280.34
2020-02-28,256.57
2020-03-02,281.52
2020-03-03,302.85
2020-03-04,295.64
2020-03-05,294.72
2020-03-06,281.24
2020-03-09,263.04
2020-03-10,276.39
2020-03-11,276.64
2020-03-12,255.25
2020-03-13,264.17
2020-03-16,241.3
2020-03-17,246.84
2020-03-18,239.12
2020-03-19,246.72
2020-03-20,246.51
2020-03-23,227.46
2020-03-24,235.72
2020-03-25,250.07
2020-03-26,245.85
2020-03-27,252.07
2020-03-30,250.06
2020-03-31,254.91
2020-04-01,245.83
2020-04-02,239.69
2020-04-03,242.14
2020-04-06,250.22
2020-04-07,270.07
2020-04-08,262.03
2020-04-09,267.97
2020-04-13,267.59
2020-04-14,279.24
2020-04-15,281.64
2020-04-16,286.6
2020-04-17,283.92
2020-04-20,277.2
2020-04-21,275.53
2020-04-22,272.87
2020-04-23,275.13
2020-04-24,276.45
2020-04-27,281.04
2020-04-28,284.31
2020-04-29,283.96
2020-04-30,289.18
2020-05-01,285.48
2020-05-04,288.39
2020-05-05,294.26
2020-05-06,299.65
2020-05-07,302.4
2020-05-08,305.64
2020-05-11,308.1
2020-05-12,317.83
2020-05-13,312.15
2020-05-14,312.15
